PUBYEAR,ARTICLE_TYPE,TOTAL_NUMBER_OF_ITEMS,NUMBER_OF_NULLS,NUMBER_OF_DOIS
1993,article,611986,610501,1485
1983,note,53419,53289,130
2012,proceedings paper,312116,186386,125730
2001,review,33924,31664,2260
2002,editorial material,56964,49029,7935
1992,note,49711,49614,97
2012,correction,12847,2929,9918
2013,review,77838,5472,72366
1982,note,48763,48626,137
2009,proceedings paper,294548,245434,49114
1984,letter,40840,40581,259
2008,proceedings paper,270891,234371,36520
1985,article,517924,517049,875
1993,review,18102,18034,68
1987,article,535350,534408,942
2011,review,67105,9133,57972
1979,note,2142,1973,169
1981,article,456347,455734,613
2004,proceedings paper,165176,148611,16565
2005,editorial material,69739,43776,25963
2000,meeting abstract,132506,132505,1
2002,letter,39559,34760,4799
1964,article,9756,9512,244
1995,letter,47601,47264,337
1992,correction,427,407,20
2010,correction,11885,3677,8208
2001,proceedings paper,136157,136102,55
2016,"fiction, creative prose",596,559,37
1971,article,64618,64384,234
2008,book review,76363,65153,11210
2005,biographical-item,6174,4842,1332
1999,meeting abstract,127093,127093,0
1997,news item,30118,30107,11
2007,book review,71350,62974,8376
2014,poetry,5186,4938,248
1969,book review,629,624,5
1988,review,16322,16280,42
1960,article,3665,3468,197
1970,article,51384,51043,341
2012,art exhibit review,1905,1866,39
1963,article,7612,7428,184
1973,letter,3240,2992,248
1982,review,13306,13246,60
1997,editorial material,60102,59971,131
2015,film review,1436,1391,45
1975,letter,877,624,253
2001,correction,6838,6732,106
2004,letter,39217,26873,12344
1959,article,3478,3277,201
1983,letter,39907,39667,240
1972,correction,267,254,13
1984,editorial material,34423,34350,73
1981,meeting abstract,101017,101017,0
1979,editorial material,1393,1334,59
1980,editorial material,21923,21868,55
1994,letter,46697,46337,360
1978,correction,130,118,12
1987,biographical-item,191,188,3
1965,letter,2502,2497,5
1979,review,1614,1584,30
1970,letter,2672,2559,113
1972,letter,2922,2782,140
1985,editorial material,31845,31743,102
1969,discussion,144,132,12
2015,"tv review, radio review",346,344,2
1963,note,588,588,0
1983,discussion,2699,2677,22
1967,meeting abstract,4495,4357,138
2017,article,1630556,100118,1530438
1966,discussion,89,77,12
1964,editorial material,1496,1472,24
1967,abstract of published item,54,54,0
1980,poetry,7895,7895,0
2018,review,115150,2984,112166
1944,article,1186,1027,159
1961,discussion,30,30,0
1928,review,42,41,1
2018,"fiction, creative prose",518,480,38
1963,discussion,26,23,3
2018,reprint,213,13,200
1981,editorial material,22807,22751,56
1954,meeting abstract,166,166,0
1952,article,4698,4490,208
2018,software review,21,1,20
1960,correction,14,14,0
1938,article,1603,1460,143
1960,editorial material,505,494,11
1977,biographical-item,10,10,0
2007,database review,43,21,22
1992,proceedings paper,137110,137109,1
1949,meeting abstract,304,304,0
1947,review,167,159,8
1957,letter,454,454,0
1952,editorial material,911,897,14
1955,review,261,260,1
1953,editorial material,949,935,14
1955,editorial material,614,602,12
1946,editorial material,596,583,13
2008,biographical-item,7014,4743,2271
1994,biographical-item,207,201,6
2002,bibliography,629,610,19
1948,discussion,22,22,0
1930,article,1255,1149,106
1939,review,75,73,2
1940,review,107,103,4
1957,biographical-item,3,3,0
1960,discussion,14,10,4
1961,correction,10,10,0
2010,software review,67,27,40
2014,theater review,376,347,29
2006,biographical-item,6588,4853,1735
1946,note,465,465,0
1912,review,15,15,0
1916,review,12,12,0
1956,biographical-item,2,2,0
